/mnt/media/2 B 3/The Toronto Sessions/01 Hip Hug-Her.mp3	Hip Hug-Her 	1 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	운암정의 아침 (instrumental) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/02 High Heel Feat.mp3	High Heel Feat 	2 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	선물 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/03 Steel Onions.mp3	Steel Onions 	3 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	끔의 시간들 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/04 Life Is a Carnival.mp3	Life Is a Carnival 	4 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	첫사랑 (Drama version) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/05 Gimme Some Lovin'.mp3	Gimme Some Lovin' 	5 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	눈이 하는 말 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/06 Burnin' at the Stake.mp3	Burnin' at the Stake 	6 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	Love Me 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/07 Apricot Brandy.mp3	Apricot Brandy 	7 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	벚꽃지다 (Drama version) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/08 King Harvest.mp3	King Harvest 	8 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	사랑과 별 (instrumental) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/09 Drown in My Own Tears.mp3	Drown in My Own Tears 	9 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	너에게 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/10 Hush.mp3	Hush 	10 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	식객 (instrumental) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/11 All About My Girl.mp3	All About My Girl 	11 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	비밀 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/12 One Love-People Get Ready.mp3	One Love/People Get Ready 	12 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	Heyday 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/13 Magic Carpet Ride.mp3	Magic Carpet Ride 	13 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	내 끔을 향해서 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/2 B 3/The Toronto Sessions/14 Big Chief.mp3	Big Chief 	14 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	경합 (instrumental) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
